Software_name,category_1,option_1,,category_2,option_2,category_3,option_3,category_4,option_4,category_5,option_5,category_6,option_6,category_7,option_7,category_8,option_8,category_9,option_9,category_10,option_10,category_11,option_11,category_12,option_12,category_13,option_13,category_14,option_14,category_15,option_15,category_16
Salesforce Sales Cloud,https://www.g2.com/categories/sales-acceleration-platforms,aceleracion-ventas,https://www.g2.com/categories/sales-acceleration-platforms,https://www.g2.com/categories/sales-analytics,analitica-ventas,https://www.g2.com/categories/sales-platforms,plataformas-ventas,https://www.g2.com/categories/lead-scoring,puntuacion-prospectos,,,,,,,,,,,,,,,,,,,,,,,
HubSpot Sales Hub,https://www.g2.com/categories/sales-acceleration-platforms,aceleracion-ventas,https://www.g2.com/categories/sales-acceleration-platforms,https://www.g2.com/categories/sales-analytics,analitica-ventas,https://www.g2.com/categories/sales-platforms,plataformas-ventas,https://www.g2.com/categories/visitor-identification,identificacion-visitantes,https://www.g2.com/categories/business-scheduling,programacion-negocios,,,,,,,,,,,,,,,,,,,,,
Salesloft,https://www.g2.com/categories/sales-acceleration-platforms,aceleracion-ventas,https://www.g2.com/categories/sales-acceleration-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gong,https://www.g2.com/categories/sales-analytics,analitica-ventas,https://www.g2.com/categories/sales-analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambition,https://www.g2.com/categories/sales-gamification,gamificacion-ventas,https://www.g2.com/categories/sales-gamification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalesScreen,https://www.g2.com/categories/sales-gamification,gamificacion-ventas,https://www.g2.com/categories/sales-gamification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinify,https://www.g2.com/categories/sales-gamification,gamificacion-ventas,https://www.g2.com/categories/sales-gamification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZoomInfo SalesOS,https://www.g2.com/categories/sales-intelligence,inteligencia-ventas,https://www.g2.com/categories/sales-intelligence,https://www.g2.com/categories/buyer-intent-data-providers,proveedores-intencion-comprador,https://www.g2.com/categories/marketing-account-intelligence,inteligencia-cuentas-marketing,https://www.g2.com/categories/account-data-management,gestion-datos-cuentas,https://www.g2.com/categories/lead-capture,captura-prospectos,https://www.g2.com/categories/lead-intelligence,inteligencia-prospectos,https://www.g2.com/categories/lead-mining,prospeccion-prospectos,https://www.g2.com/categories/visitor-identification,identificacion-visitantes,https://www.g2.com/categories/market-intelligence,inteligencia-mercado,,,,,,,,,,,,,
LinkedIn Sales Navigator,https://www.g2.com/categories/sales-intelligence,inteligencia-ventas,https://www.g2.com/categories/sales-intelligence,https://www.g2.com/categories/buyer-intent-data-providers,proveedores-intencion-comprador,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo.io,https://www.g2.com/categories/sales-intelligence,inteligencia-ventas,https://www.g2.com/categories/sales-intelligence,https://www.g2.com/categories/marketing-account-intelligence,inteligencia-cuentas-marketing,https://www.g2.com/categories/lead-intelligence,inteligencia-prospectos,,,,,,,,,,,,,,,,,,,,,,,,,
